REF_DATE,GEO,CPI
2021-08,Newfoundland and Labrador,145.8
2021-08,Prince Edward Island,147.0
2021-08,Nova Scotia,144.5
2021-08,New Brunswick,143.0
2021-08,Quebec,138.7
2021-08,Ontario,144.1
2021-08,Manitoba,143.2
2021-08,Saskatchewan,144.9
2021-08,Alberta,151.0
2021-08,British Columbia,137.0
2021-08,"Yukon",140.3
2021-08,"Northwest Territories",143.1
2021-08,"Nunavut",133.9
