REF_DATE,GEO,CPI
2020-05,Newfoundland and Labrador,138.2
2020-05,Prince Edward Island,136.1
2020-05,Nova Scotia,136.5
2020-05,New Brunswick,135.6
2020-05,Quebec,131.9
2020-05,Ontario,137.5
2020-05,Manitoba,136.8
2020-05,Saskatchewan,139.9
2020-05,Alberta,144.1
2020-05,British Columbia,131.5
2020-05,"Yukon",133.1
2020-05,"Northwest Territories",137.7
2020-05,"Nunavut",131.4
