REF_DATE,GEO,CPI
2021-05,Newfoundland and Labrador,144.3
2021-05,Prince Edward Island,144.2
2021-05,Nova Scotia,143.1
2021-05,New Brunswick,141.4
2021-05,Quebec,137.3
2021-05,Ontario,142.6
2021-05,Manitoba,141.5
2021-05,Saskatchewan,143.7
2021-05,Alberta,148.6
2021-05,British Columbia,135.1
2021-05,"Yukon",138.0
2021-05,"Northwest Territories",141.2
2021-05,"Nunavut",133.3
