REF_DATE,GEO,CPI
2019-12,Newfoundland and Labrador,139.6
2019-12,Prince Edward Island,138.4
2019-12,Nova Scotia,137.9
2019-12,New Brunswick,136.4
2019-12,Quebec,132.4
2019-12,Ontario,137.8
2019-12,Manitoba,137.4
2019-12,Saskatchewan,139.6
2019-12,Alberta,143.7
2019-12,British Columbia,131.7
2019-12,"Yukon",134.8
2019-12,"Northwest Territories",140.0
2019-12,"Nunavut",132.2
