REF_DATE,GEO,CPI
2021-02,Newfoundland and Labrador,142.0
2021-02,Prince Edward Island,140.8
2021-02,Nova Scotia,140.8
2021-02,New Brunswick,138.7
2021-02,Quebec,135.3
2021-02,Ontario,140.2
2021-02,Manitoba,138.9
2021-02,Saskatchewan,142.4
2021-02,Alberta,146.4
2021-02,British Columbia,134.1
2021-02,"Yukon",136.4
2021-02,"Northwest Territories",139.6
2021-02,"Nunavut",132.0
