REF_DATE,GEO,CPI
2019-04,Newfoundland and Labrador,139.7
2019-04,Prince Edward Island,137.8
2019-04,Nova Scotia,137.4
2019-04,New Brunswick,136.4
2019-04,Quebec,131.5
2019-04,Ontario,137.4
2019-04,Manitoba,137.1
2019-04,Saskatchewan,140.6
2019-04,Alberta,143.7
2019-04,British Columbia,131.2
2019-04,"Yukon",132.2
2019-04,"Northwest Territories",138.4
2019-04,"Nunavut",131.3
