Political affiliation,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories,Nunavut
BQ,0,0,0,0,1387030,0,0,0,0,0,0,0,0
CPC,67962,23321,137300,144229,684661,2277937,267811,372904,1438233,811362,6881,4157,2469
Green,7617,17817,58674,75738,193420,429671,30435,14991,59271,297835,2201,1731,206
Liberal,109148,37300,221087,164970,1468603,2863719,156727,68200,288010,624545,7034,6467,2918
NDP,57664,6444,100853,41212,464414,1158696,123331,114213,241376,583401,4617,3640,3861
PPC,335,0,6260,8926,62951,108427,9988,10457,46672,39496,284,296,0

