REF_DATE,GEO,CPI
2019-11,Newfoundland and Labrador,139.9
2019-11,Prince Edward Island,139.0
2019-11,Nova Scotia,138.4
2019-11,New Brunswick,137.3
2019-11,Quebec,132.4
2019-11,Ontario,137.7
2019-11,Manitoba,137.6
2019-11,Saskatchewan,140.5
2019-11,Alberta,143.6
2019-11,British Columbia,131.8
2019-11,"Yukon",133.9
2019-11,"Northwest Territories",139.5
2019-11,"Nunavut",130.9
