Political affiliation,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories,Nunavut
BQ,0,0,0,0,1301615,0,0,0,0,0,0,0,0
CPC,70783,26673,144315,133678,756412,2251826,224682,304698,1075638,750394,5096,2031,1184
Green,0,8048,8902,20162,61488,142678,9435,5699,17483,121919,846,328,0
Liberal,104240,39046,207237,168945,1364485,2535222,160206,54731,299493,608588,6471,5387,2578
NDP,37743,7802,107832,47353,395401,1153119,131591,108720,370394,664054,4354,4558,3427
PPC,5150,2748,19365,24346,108744,350150,43519,33969,142479,110523,0,0,0

